房间	Phòng
仓库	Kho
交易区	Khu vực giao dịch
狼皮薄衣衫	Áo mỏng da sói
熊皮休闲下裳	Hùng Bì Nhàn Hạ Hạ Sam
紫布修行衣衫	Vải tím Áo Tu Hành
黄布薄下裳	Bạc Hạ Thường hoàng bố
可以提高视野范围，并提高历练时发现新地点的速度。	Là phù chú có thể tăng phạm vi tầm nhìn, và tăng tốc độ phát hiện địa điểm mới khi luyện tập.
松豪	Tùng Hào
千里神视符	Thiên Lý Thị Phù
寒精弓	Tinh hàn yêu cung
木农具	Nông cụ bằng gỗ
黄布修行衣衫	Áo tu hành hoàng bố
蓝布修行下裳	Tu Hành Hạ Thường Vải Xanh
南海神视纪要	Nam Hải Thần Thị yếu lãm
可以轻微提高炼制法宝的品阶。	Có thể tăng nhẹ phẩm cấp luyện chế pháp bảo.
五方灵宝符	Ngũ phương Linh Bảo phù
野猪皮	Da lợn rừng
麒麟天心罩	Kỳ lân Thiên Tâm Chướng
棉花	Bông
甲乙丝	Tơ Giáp Ất
面饼	Bánh mì
戊己天罡饼	Mậu Kỷ Thiên Cương Bính
牛皮休闲下裳	Hạ Thường Da Bò Giải Trí
木弓	Cung gỗ
莲藕	Ngó sen
壬水七魄藕	Ngó Thất Phách Cascade
符纸	Phù giấy
青龙道德符	Thanh Long Đạo Đức Phù
大理石砖	Gạch đá cẩm thạch
戊土魂圭	Hồn Grim quỳ
野猪皮修行衣衫	Áo Tu Hành Da Lợn Rừng
靛蓝布薄下裳	Quần mỏng điện lam bố
紫薇鬼手秘传	Tử Vi Quỷ Thủ Bí Truyền
狼肉	Thịt sói
行疆荡魔幕	Hành Cương Đãng Ma Mục
虎皮	Da hổ
戊土戮血革	Da Lục Huyết Grim
肉干	Thịt khô
牛皮休闲衣衫	Áo da bò thường nhật
狼皮修行下裳	Tu Hành Hạ Thường Da Sói
可以轻微提高炼制丹药的产量。	Có thể tăng nhẹ sản lượng luyện chế đan dược.
万化承丹符	Vạn hóa nhận đan phù
黄布厚制衣衫	Chế Y Sam hoàng bố
苍莽千光甲	Giáp Thương Long Thiên Quang
棕石	Đá nâu
地龙圭	Địa Long khuê
干锅田鸡	Cán Oa Điền Kê
姜龙	Khương Long
灵石墙	Linh thạch tường
灵石门	Môn Linh thạch
灵石床	Linh thạch
灵石灯笼	Đèn lồng linh thạch
灵石水缸	Linh Thạch Chum Nước
梧桐木水井	Giếng nước ngô đồng thần mộc
灵晶墙	Tường Tinh linh
灵晶门	Tinh linh môn
梧桐木床	Giường ngô đồng thần mộc
梧桐木法座	Ngô Đồng Mộc Pháp Tọa
梧桐木琴台	Đàn ngô đồng thần mộc
梧桐木小方桌	Bàn vuông ngô đồng thần mộc nhỏ
火铜床	Giường Hoả Đồng
火铜法座	Pháp tọa đồng lửa
火铜琴台	Đài đàn đồng lửa
火铜小方桌	Bàn Vuông Nhỏ Hoả Đồng
寒精置物台	Bàn đựng đồ tinh thể lạnh
火铜置物台	Bàn đựng đồ đồng lửa
梧桐木灯笼	Đèn lồng gỗ bồ đề
梧桐木藏经阁书架	Giá sách Tàng Kinh Các bằng ngô đồng thần mộc
梧桐木屏风	Bình phong ngô đồng thần mộc
梧桐木梳妆台	Bàn trang điểm ngô đồng thần mộc
寒晶灯笼	Đèn lồng hàn tinh
寒晶屏风	Bình Phong Hàn Tinh
寒晶梳妆台	Bàn trang điểm tinh thể lạnh
天柱石法座	Pháp tọa đá Thiên Trụ
火铜灯笼	Đèn lồng đồng lửa
火铜梳妆台	Bàn trang điểm Đồng Hỏa
火铜屏风	Bình phong đồng lửa
寒晶藏经阁书架	Hàn Tinh Tàng Kinh Các Thư Kệ
火铜藏经阁书架	Hỏa Đồng Tàng Kinh Các Thư Kệ
火精墙	Hoả tinh tường
梧桐木墙	Tường ngô đồng thần mộc
棕石床	Đá nâu
棕石小方桌	Bàn vuông đá nâu nhỏ
棕石琴台	Đàn đá nâu
寒精墙	Tường Hàn Tinh
寒精灯笼	Đèn lồng hàn tinh
天柱石炉灶	Bếp lò đá Thiên Trụ
火精灯笼	Đèn Lồng Hỏa Tinh
玄铁灯笼	Đèn Lồng Huyền Thiết
寒精门派石碑	Bia phái hàn tinh
寒精观星台	Bàn quan sát sao tinh thể lạnh
傀儡停放点	Điểm đỗ khôi lỗi
棕石墙	Tường đá nâu
棕石门	Cổng Đá Nâu
玄铁床	Giường Huyền thiết
玄铁小方桌	Bàn vuông nhỏ huyền thiết
玄铁琴台	Đài đàn huyền thiết
玄铁法座	Pháp tọa huyền thiết
天柱石藏经阁书架	Giá sách Tàng Kinh Các Thiên Trụ Thạch
天柱石梳妆台	Bàn trang điểm đá Thiên Trụ
天柱石灯笼	Đèn lồng đá Thiên Trụ
天柱石屏风	Thiên Trụ Thạch Bình Phong
灵石置物台	Kệ đặt linh thạch
<font color=MYCOLOR>程雪青</font>在割除<font color=OBJCOLOR>长草</font>时满怀动力，她觉得这也是修行的一环。	<font color=MYCOLOR>Trình Tuyết Thanh</font> tràn đầy động lực khi cắt <font color=OBJCOLOR>cỏ dài</font>, cô cảm thấy đây cũng là một phần của tu luyện.
1天 17:07	1 ngày 17:07
<font color=MYCOLOR>程雪青</font>好像听到有谁在喊自己的名字。	<font color=MYCOLOR>Trình Tuyết Thanh</font> dường như nghe có ai đó đang gọi tên mình.
1天 19:13	1 ngày 19:13
4天 03:02	4 ngày 03:02
<font color=MYCOLOR>程雪青</font>突然觉得右眼跳了跳。	<font color=MYCOLOR>Tuyết Thanh</font> đột nhiên cảm thấy mắt phải giật giật.
5天 08:02	5 ngày 08:02
<font color=MYCOLOR>程雪青</font>有些关于<font color=OBJCOLOR>工作</font>的事想找人聊聊，	<font color=MYCOLOR>Trình Tuyết Thanh</font> có chuyện về <font color=OBJCOLOR>công</font> muốn tìm người trò chuyện,
5天 17:31	5 ngày 17:31
<font color=MYCOLOR>程雪青</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Trình Tuyết Thanh</font> thấy <font color=HECOLOR>Ngưỡng Hậu</font> từ đằng xa đi tới, liền vẫy tay và chào hỏi.
6天 19:47	6 ngày 19:47
