房间	Phòng
蜚皮修行衣衫	Áo Tu Hành Da Phi
蜚皮修行下裳	Phi Bì Tu Hành Hạ Sam
巧夺天工的神兵，融合制作者的心血与灵感而成。	Thần binh tinh xảo tuyệt đỉnh, dung hợp tâm huyết và cảm hứng của người chế tạo.
炼狱	Luyện ngục
观音土	Đất Quan Âm
四象庇世灵宝	Tứ Tượng Bị Thế Linh Bảo
小麦	Lúa mì
腾岳千魂丝	Tơ Đằng Nhạc Thiên Hồn
灵木	Gỗ linh mộc
甲乙极光柱	Giáp Ất Cực Quang Trụ
提高战斗能力，提高疼痛忍耐。	Tăng khả năng chiến đấu, tăng khả năng chịu đau.
武昌符	Võ Xương phù
佩戴者可以提高抵御木属性伤害之力。	Người đeo có thể tăng lực kháng tổn thương thuộc tính Mộc.
木甲符	Mộc giáp phù
佩戴者可以提高神民上限。	Người đeo có thể tăng giới hạn thần dân.
神居符	Thần cư phù
角色出生点	Điểm sinh nhân vật
逻辑点	Điểm logic
灵石钟	Chuông linh thạch
灵石栅栏	Hàng rào Linh thạch
梧桐木墙	Tường ngô đồng thần mộc
梧桐木门	Cửa ngô đồng thần mộc
天柱石栅栏	Hàng rào đá Thiên Trụ
天柱石门派山门	Sơn môn của môn phái Thiên Trụ Thạch
天柱石床	Giường đá Thiên Trụ
黑布蒲团	Bồ đoàn hắc bộ
灵石香炉	Linh Thạch Lư Hương
梧桐木小方桌	Bàn vuông ngô đồng thần mộc nhỏ
梧桐木装饰书架	Kệ sách trang trí ngô đồng thần mộc
梧桐木油灯	Ngô Đồng Mộc Dầu Đèn
灵石神鹤灯	Linh thạch Đèn Thần Hạc
天柱石门派石碑	Bia môn phái Thiên Trụ Thạch
灵石剑心玉莲	Liên ngọc Tâm Kiếm Linh Thạch
灵石炉灶	Bếp Lò Linh Thạch
梧桐木桌子	Bàn ngô đồng thần mộc
母鸡	Gà mái
公鸡	Gà trống
公兔子	Thỏ đực
母兔子	Thỏ cái
雄龟	Rùa đực
母牛	Bò cái
公牛	Bò đực
严	Nghiêm
宁	Yên tĩnh
志	Chí
赏	Thưởng
新波	Tân Ba
利	Lợi
温	Ôn
绿真	Lục Chân
无言的守誓者	Người thề nguyện im lặng
归真金刚	Quy Chân Kim Cương
本源绝杀咒	Bản Nguyên Tuyệt Sát Chú
玉虚三花	Ngọc Hư Tam Hoa
未来星宿落花神雷	Vị Lai Tinh Tú Lạc Hoa Thần Lôi
多宝落花真言	Đa Bảo Lạc Hoa Chân Ngôn
嵩山覆灭真言	Tung Sơn Phục Diệt Chân Ngôn
赤霄宫先天一气咒	Xích Tiêu Cung Tiên Thiên Nhất Khí Chú
御神回春神雷	Ngự Thần Hồi Xuân thần lôi
造化落花神雷	Tạo Hóa Lạc Hoa thần lôi
万源归真化影神雷	Vạn Nguyên Quy Chân Hóa Ảnh Thần Lôi
本源陨星神雷	Bản Nguyên Vận Tinh Thần Lôi
御神十二都天诀	Yêu Quyet Thập Nhị Đô Thiên Ngự Thần
本源落花	Bản Nguyên Lạc Hoa
断岳飞星	Đoạn Nhạc Phi Tinh
勾陈接天咒	Câu Trần Tiếp Thiên Chú
太上飞星	Thái Thượng Phi Tinh
鸿蒙流光咒	Hồng Mông Lưu Quang Chú
造化通天神雷	Tạo Hóa Thông Thiên Thần Lôi
未来星宿流光真言	Lưu Quang Tương Lai Tinh Tú Chân Ngôn
御神流光	Ngự Thần Lưu Quang
苍木开天诀	Quyết Thương Mộc Khai Thiên
紫薇镇神	Tử Vi Trấn Thần
本源镇神真言	Bản Nguyên Trấn Thần Chân Ngôn
玉虚五气神雷	Ngọc Hư Ngũ Khí Thần Lôi


