房间	Phòng
仓库	Kho
蓝布休闲衣衫	Vải xanh Áo Thường Nhật
野猪皮休闲下裳	Quần Nghỉ Ngơi Da Lợn Rừng
紫布修行衣衫	Vải tím Áo Tu Hành
野猪皮修行下裳	Quần Tu Hành Da Lợn Rừng
肉干	Thịt khô
灵石墙	Linh thạch tường
灵石门	Môn Linh thạch
灵石床	Linh thạch
灵石灯笼	Đèn lồng linh thạch
练功点	Điểm luyện công
公兔子	Thỏ đực
雌龟	Rùa cái
雄龟	Rùa đực
雌青蛙	Ếch cái
雄青蛙	Ếch đực
钟离	Chung Ly
舒	Thư
惊魂初定	Hồn phách ổn định
和	Hòa
慕容	Mộ Dung
碧彤	Bích Đồng
田	Điền
纨	Hoàn
博	Bác
冯	Phùng
亦云	Diệc Vân
支	Chi
飞扬	Phi Dương
药物储量不足	Dự trữ thuốc không đủ
存档写入完成	Hoàn tất ghi lưu trữ
钮影感到危险	Nữu Ảnh cảm thấy nguy hiểm
化影诀	Hoá Ảnh quyết
太乙不朽神雷	Thái Ất Bất Hủ Thần Lôi
坤元秘要	Khôn Nguyên Bí Yếu
少量的	Một chút
千钧	Thiên Quân
混元式	Hỗn Nguyên Thức
苍龙迅击密卷	Thương Long Tấn Kích Mật Quyển
中量的	Vừa
微草归祖神功	Vi Thảo Quy Tổ Thần Công
甲乙鲸吞秘要	Giáp Ất Kình Thôn Bí Yếu
紫云宫神视纪要	Tử Vân Cung Thần Thị Ký Yếu
大量的	Số lượng lớn
天妖化血术	Thiên Yêu Hóa Huyết Thuật
忘情佛心记	Vong Tình Phật Tâm Ký


